client_id,bins
24662,2
1046,0
34089,2
34848,1
47076,3
10938,2
42965,1
21594,0
7952,1
33810,0
11061,2
30905,0
29440,3
48434,0
47651,3
36224,2
17276,3
34732,3
34843,2
24284,1
2409,2
30746,1
21691,1
21766,1
8809,1
14896,2
20246,1
33557,1
29957,3
35077,1
32680,1
30401,2
39162,1
29018,0
38659,3
15639,0
14414,3
28539,1
10245,3
13271,1
39868,3
38150,2
4845,3
6110,2
47414,0
413,1
47323,3
48975,0
31030,3
14942,1
26720,0
35206,0
49645,0
1746,2
30051,0
11869,0
24916,0
39277,2
16651,2
49410,2
12125,3
21913,0
48704,2
20940,0
26960,3
40119,1
7536,3
1827,2
12142,3
8535,3
46397,2
4807,3
29843,3
14055,0
14557,3
4511,3
6122,2
31476,3
24212,2
2795,3
7286,1
18118,2
44339,3
49487,3
26026,0
17833,3
30850,0
23559,3
1433,3
7543,3
21067,2
1798,2
44896,2
7389,0
43599,0
18189,3
43782,2
13071,1
43878,3
43625,1
36187,1
15108,2
7314,1
31736,3
19344,3
32750,0
36297,2
13861,3
33469,3
29723,2
45062,3
38702,3
13648,2
43176,2
12636,2
31943,1
18731,1
12785,1
24686,1
1032,3
16540,1
9581,0
19290,3
33801,2
21486,1
39391,1
1053,1
45318,2
12454,0
30059,3
4245,1
13583,1
49391,1
3073,2
22920,3
23770,2
8639,3
49010,2
8651,0
26449,1
42053,3
47596,2
11015,1
25943,1
39471,3
11882,2
10728,0
23008,1
13493,1
33788,3
11487,0
44193,1
45857,0
12545,0
21136,2
6042,3
15267,1
32895,2
43108,0
22881,2
24973,2
30793,2
4092,3
5087,1
1162,2
15049,2
20363,1
25854,3
14694,3
36200,1
9480,1
1544,2
6456,2
46840,2
31889,3
42149,3
46817,2
42966,3
12793,3
6866,1
34211,3
34886,2
353,3
18460,0
47164,1
4713,3
10573,0
43434,3
26095,2
37039,3
26659,0
11811,3
21261,2
16192,3
271,3
1302,3
3596,1
1103,2
37588,3
41246,3
18003,3
25334,2
16246,1
23486,0
3386,1
46738,2
46796,2
25315,1
31521,1
34456,2
43467,2
3889,1
28924,0
49138,0
6886,3
28922,0
14951,3
16644,2
19051,2
36859,2
4446,2
39759,0
20518,1
25878,0
38345,3
31686,2
11272,1
14882,2
46064,1
34058,2
18956,1
6604,2
3749,3
44637,2
19234,3
34896,0
20770,0
40047,0
15538,1
17473,2
23894,1
11429,3
19357,0
26535,1
18728,1
1268,0
5106,1
44425,3
48033,0
20852,3
3679,2
35978,0
25539,0
14423,1
47258,2
371,0
4690,3
14618,1
25890,3
27665,1
43683,1
6038,1
16461,2
9012,3
7596,0
30842,3
40791,0
40227,3
26895,1
2587,0
38736,1
32096,3
22974,1
19758,0
7964,2
35863,0
44227,3
37562,3
25461,2
33002,3
20779,1
48637,0
28078,1
18768,1
9978,2
33729,2
15226,3
4435,0
2843,3
31808,2
34497,3
21213,0
19803,1
38135,1
36878,2
47692,0
24977,2
33026,1
9403,1
31678,0
1215,0
44110,2
42449,2
31086,0
10900,1
11805,0
27466,2
19753,1
34286,0
20572,2
30389,0
30627,2
18942,1
32944,3
26382,2
40370,2
39333,0
47553,2
17183,3
31984,1
20436,2
40377,1
6316,3
31666,3
11519,0
2899,0
23164,3
31630,3
40539,0
25922,2
22186,2
28257,3
34453,3
4294,0
27831,1
41787,2
49935,3
21555,1
43153,3
27207,1
16368,3
46142,1
16311,3
27005,3
12643,1
74,2
25052,3
21210,3
1549,3
20714,3
24316,0
22705,3
48462,0
43830,0
3997,1
7052,0
44554,0
17360,0
43518,3
33441,2
14710,0
16089,2
37838,1
30662,0
20516,3
42061,0
40593,0
40547,3
867,0
1569,0
12867,2
26722,0
16083,0
83,0
43707,0
1394,1
47039,0
20252,3
41405,1
33038,1
43384,3
25269,3
36026,1
45662,3
42354,2
5025,0
39355,3
5013,2
44544,0
2833,1
5182,0
5430,1
8540,3
3336,2
6606,2
30019,0
6845,2
31068,0
26268,3
33293,1
21533,3
9212,3
17031,3
23727,2
18283,0
43403,0
17280,2
18726,3
1858,0
3454,1
6553,3
15450,2
21813,0
46127,0
37658,2
8228,3
4652,0
28683,1
2778,0
47325,1
5164,2
18445,3
33731,2
24265,0
3193,2
41264,0
37467,3
38956,1
42503,2
41400,0
33311,0
17922,1
22275,0
38841,3
38079,0
39063,0
15848,1
15799,1
23693,0
1622,0
30910,0
10140,3
28178,3
8666,2
24036,0
28656,0
108,1
13957,0
39271,2
15439,1
27187,1
18579,3
45490,1
7925,1
32922,2
49375,3
19925,3
5211,2
373,0
6279,1
34083,2
39673,0
31704,3
19412,0
9057,1
32782,2
3848,3
37137,3
36016,3
47879,1
41869,3
40920,1
30685,0
33320,1
5405,3
12337,1
45351,3
36795,0
27170,1
3758,2
31892,0
28563,3
24619,3
13576,1
35012,2
30397,1
38344,0
23040,1
8059,0
37399,2
21488,3
41765,2
23060,2
38137,0
34524,2
38242,3
20421,0
32622,0
25976,2
38541,1
43307,2
42497,0
25247,3
40381,2
11337,3
1842,0
30582,3
40302,2
35473,2
24045,2
222,1
39915,2
42210,0
45004,3
35370,0
11583,0
3092,1
16862,2
31334,1
46571,3
34747,0
43971,1
6003,2
11914,1
37387,1
3374,3
19047,2
461,3
41566,2
17921,0
20670,1
11713,2
36838,3
15853,2
45929,1
37187,1
8493,1
22954,3
12534,2
40645,2
769,3
42927,2
20202,1
5788,2
18257,2
18647,0
15142,0
28566,1
15304,2
30502,0
36477,3
26183,3
49600,3
7135,2
24607,0
46435,2
21241,3
46502,3
33874,2
45673,2
13790,3
16063,2
36754,3
34574,3
45388,1
44696,1
3663,2
15530,1
39020,1
29364,3
34297,1
44251,1
33139,3
49295,0
34920,1
3456,2
13863,1
29234,0
11195,1
10042,0
16920,0
9105,3
22092,2
17710,1
6887,0
21424,3
22567,0
9582,0
27247,2
14284,1
17807,1
14788,2
25521,2
36366,2
17536,1
37892,1
49887,2
25593,2
35046,1
32548,0
8185,2
16663,0
7106,3
20439,1
49587,1
16728,2
12963,1
9336,3
23251,2
41227,2
19347,3
40299,2
287,2
38781,1
17259,2
48271,3
1206,0
3444,2
26679,0
33196,3
2507,1
6406,2
40269,1
43542,2
142,3
44976,1
30290,0
8599,3
7905,2
29943,2
12536,3
44506,2
15401,1
13760,2
15609,3
8367,1
16013,3
16824,1
48135,0
24954,2
21782,2
14424,0
34751,1
7661,2
43412,1
46637,3
8893,1
23545,0
36999,0
43109,0
14440,3
31325,0
44042,3
31042,0
42874,3
41149,1
29648,2
4366,2
25575,1
374,2
39878,0
23048,1
28593,2
9151,2
3029,1
47082,2
34115,0
16895,3
10576,2
9204,0
5606,3
28725,3
12555,0
21128,3
41452,0
27217,1
13357,0
43819,3
36336,3
6811,2
20029,3
47660,1
20153,2
21003,0
48793,0
36809,0
47648,2
28243,2
19912,3
40412,0
46060,2
40649,3
5544,3
49204,1
43870,1
618,0
1326,0
24833,1
6007,3
3937,0
26014,3
16245,1
30207,2
34826,3
10325,0
11457,1
27679,2
46349,3
40782,0
24957,1
9742,3
23948,1
22131,2
49269,0
18293,0
39499,2
16531,1
46845,3
41160,3
23899,2
42841,1
37817,3
3138,2
34093,1
32576,1
48670,2
38556,1
49825,1
18016,3
26299,3
2576,1
25738,0
31946,2
43939,0
42515,3
40605,2
18015,3
39384,1
591,0
20780,2
26256,3
8137,0
21215,3
36453,3
41448,3
14876,3
10442,2
4436,3
19952,2
9384,2
13684,2
36546,0
39417,3
28868,2
21184,0
47851,0
43033,2
33715,3
47783,3
21792,3
40024,1
34641,0
8466,3
22045,2
11249,0
7067,0
49899,0
8611,0
10824,2
4768,1
7088,3
41902,3
46708,3
24373,0
1169,0
23489,3
27600,0
32598,2
4043,3
45333,0
31156,2
25108,1
25132,1
12603,1
42421,0
42678,1
16264,0
5765,2
18260,1
40868,0
13302,0
6783,3
46505,1
22845,3
7914,2
13130,3
23472,3
560,1
38586,0
21719,1
11970,1
48781,3
32733,3
43570,2
25963,2
35579,2
19536,2
9662,0
16732,2
46170,1
14513,3
13024,2
14460,3
10953,1
1911,1
28071,0
9936,2
32353,0
12622,0
45705,2
25529,1
32888,3
9950,0
21773,3
14043,2
43345,3
39612,1
48676,1
9841,1
46007,1
18773,2
40371,0
23368,0
46631,0
45969,0
41341,0
5047,2
35573,3
44567,1
38482,1
3500,0
28452,1
49233,3
4968,2
29191,0
1752,0
39739,3
49971,2
38681,3
25951,3
12264,1
19509,3
16752,3
28189,0
40535,1
45916,3
42755,3
46391,0
18164,1
9831,1
4199,2
37682,0
25030,2
44536,0
18411,2
5220,2
18299,0
29471,3
38499,0
3580,1
37197,1
987,2
33841,1
45695,1
4572,1
5986,0
2421,2
33824,2
37660,3
44949,3
25656,3
13505,1
48547,2
33554,0
30571,3
17785,2
3622,2
45558,3
16248,2
42202,1
37592,2
35196,3
11783,2
35048,0
41074,2
8559,2
18715,1
12906,3
5864,3
16284,3
13402,1
37127,0
11381,2
13772,2
9971,0
17091,1
9090,3
46049,1
30681,0
49926,3
26011,2
43014,1
4451,1
16680,1
19892,1
9196,2
26040,2
13194,3
40995,0
42112,3
13889,3
19110,2
1283,0
38208,2
2896,2
4367,1
11329,2
12870,0
9414,3
48540,1
48219,3
20017,3
23326,0
8608,1
41211,2
24001,2
20799,3
25659,1
45186,0
29149,1
21395,3
5067,2
43998,1
37959,2
42834,3
27400,0
26955,3
16940,1
3553,3
22988,0
1642,1
49268,0
13838,0
23414,0
17245,0
20951,2
36871,1
44794,2
40887,0
11684,0
14402,1
19103,3
1536,0
1310,3
47371,0
25766,2
45179,2
24875,0
43526,3
47613,1
40553,3
40361,3
31405,0
8543,3
42381,2
42321,0
45338,1
25437,3
43844,0
1147,3
42068,3
48115,3
42255,2
3602,3
41390,1
32113,2
7809,0
43239,3
30213,0
9858,2
17154,1
14466,3
9516,0
1328,0
79,3
14108,0
36431,1
32901,2
35617,2
46734,3
37217,2
21060,2
38579,0
33961,1
38904,2
20931,0
44624,0
46566,2
23985,2
24501,1
22549,1
31606,2
28262,3
32811,2
19252,0
10479,3
2668,2
2892,1
21032,0
12418,2
21585,1
949,3
1309,3
3773,0
49066,1
9454,3
14467,3
48770,2
42658,0
19599,2
49160,1
32258,3
22756,3
11932,2
14484,3
11014,2
13525,2
3678,0
39827,2
2886,3
22673,0
14071,0
2172,0
7695,2
24740,0
11704,2
34126,1
29924,2
41077,3
44271,1
35936,0
38261,3
8326,3
20127,2
39783,2
6923,2
33723,0
9817,1
22771,0
13301,2
10925,2
41397,0
1855,1
24904,1
26290,1
48856,0
46742,0
49580,0
26961,2
48297,1
36766,3
23314,2
47865,0
36275,1
30551,1
28471,3
34713,3
30063,0
5789,2
3675,1
20555,3
39475,1
19159,2
574,1
8728,2
6621,1
2039,1
48788,2
33242,3
31434,3
7366,0
16290,2
6848,1
12566,1
21500,3
13767,0
5233,0
11133,1
40000,0
19348,0
46076,0
17211,0
38237,2
16196,0
27617,1
29412,3
13876,2
2794,0
19291,1
246,3
48234,2
39055,0
2084,3
7773,3
43563,1
30078,3
8898,0
5611,3
47410,3
15903,0
13791,2
31561,3
49109,2
22593,1
12255,0
14049,0
43230,0
40293,1
39651,2
39682,1
49417,2
7565,3
21352,1
17822,1
708,0
37190,1
27625,0
19098,0
23848,1
46499,3
15222,2
41568,1
35365,0
42410,3
11615,0
49188,3
30099,0
32527,3
26178,2
21633,3
12962,2
38328,0
26429,3
2266,0
37420,1
12516,2
41876,2
21355,0
7473,2
38615,2
31165,1
15402,1
28294,2
6361,2
41243,2
20275,0
34729,3
1645,0
25167,1
40635,2
40143,3
1013,2
30843,1
25546,0
24504,1
1674,1
1024,0
510,1
20491,0
47446,1
2105,3
10493,2
9688,3
4730,1
6719,0
27033,1
29359,2
33304,2
599,3
21777,0
38644,1
36321,2
47935,3
7074,3
33983,1
21925,2
32274,0
29921,0
33521,3
13846,2
16256,1
19116,2
17072,3
7744,2
7803,1
12944,0
43743,2
49882,2
10757,2
11008,3
23343,0
6243,3
17423,0
42556,0
46303,2
19689,1
3639,3
26222,1
27241,1
12020,3
39054,0
37986,1
18142,3
42352,2
11602,0
31262,0
32917,3
30477,2
5599,0
22370,2
9431,1
5251,3
22033,1
37357,2
32812,0
20093,3
41311,0
4715,3
44355,1
32606,0
22555,2
1525,0
32986,1
15549,3
23811,3
11009,2
21341,2
45605,3
38967,0
12201,3
26171,2
33483,0
47477,3
44191,2
49043,0
12409,0
35201,1
39193,1
4346,3
27907,2
32218,3
10860,0
14574,2
4129,3
1437,3
41714,2
4192,2
20502,1
12151,0
5894,3
29165,3
42334,0
34197,2
14699,0
36865,0
27946,0
32503,0
20026,0
13593,2
20862,0
22814,1
9025,3
35071,0
9989,0
15329,1
30412,3
37191,1
17107,2
35577,3
33128,1
42641,1
8068,2
3936,3
36703,1
37139,1
14862,0
1952,0
9952,0
33328,2
27902,2
5367,1
39605,2
30361,1
36147,1
18664,1
30821,1
43047,2
16919,2
5820,3
19853,0
13656,3
47616,3
41253,3
41677,0
7312,2
19657,2
9409,2
13601,1
22778,2
22197,2
49456,2
46567,2
39094,2
36562,3
26748,1
22458,0
13340,2
27089,0
28866,1
14512,1
9539,0
10000,3
15282,2
6626,0
39497,1
12252,1
4193,3
15681,0
32739,1
10486,1
32131,2
47008,2
13668,0
41299,3
26125,1
18549,1
7992,1
16977,2
45766,2
7333,3
6036,1
47116,2
13251,3
42140,0
30969,3
1430,3
7335,2
33990,0
41588,1
42341,1
2626,3
38117,1
21260,1
23618,1
